,HIGHLINE,SCOPIA,VALINOR,SCOUT,TIGER CONSUMER,BRAHMAN
ABBVIE INC,1,0,0,0,0,0
AEROFLEX HLDG CORP,0,1,0,0,0,0
AEROPOSTALE,0,1,0,0,1,0
ALERE INC,0,1,0,0,0,0
ALLISON TRANSMISSION HLDGS I,0,0,0,1,0,0
AMAZON COM INC,0,0,0,1,0,0
AMERICAN INTL GROUP INC,0,0,1,0,0,1
AMERICAN RLTY CAP PPTYS INC,0,0,1,0,0,0
AMERICAN SUPERCONDUCTOR CORP,0,1,0,0,0,0
AMERISOURCEBERGEN CORP,1,0,0,0,0,0
ANHEUSER BUSCH INBEV SA/NV,0,0,0,1,0,0
APOLLO GROUP INC,0,0,0,1,0,1
APPLE INC,0,0,0,1,0,0
ARCOS DORADOS HOLDINGS INC,0,0,0,0,1,0
ARRIS GROUP INC NEW,0,0,1,0,0,0
ASSURED GUARANTY LTD,0,1,0,0,0,0
AUTONATION INC,0,0,0,1,0,0
AUTOZONE INC,0,0,0,0,0,1
BAIDU INC,0,1,0,0,0,0
BEAM INC,0,0,0,1,0,0
BIG LOTS INC,0,1,0,0,0,0
BRIGHT HORIZONS FAM SOL IN D,0,0,0,1,0,0
C H ROBINSON WORLDWIDE INC,0,0,0,1,0,0
CARDTRONICS INC,0,0,1,0,0,0
CATAMARAN CORP,0,0,0,0,1,0
CEMEX SAB DE CV,0,0,1,0,0,0
CF INDS HLDGS INC,0,0,0,1,0,0
CHARTER COMMUNICATIONS INC D,0,0,0,1,0,1
CHECK POINT SOFTWARE TECH LT,0,0,1,0,0,0
CHEMTURA CORP,0,0,1,0,0,0
CHENIERE ENERGY INC,0,0,0,1,0,0
CHICOS FAS INC,0,0,0,0,1,0
CISCO SYS INC,0,1,0,0,0,0
COACH INC,0,1,0,0,0,0
COLONY FINL INC,1,0,0,0,0,0
COMCAST CORP NEW,0,0,0,1,0,0
COMMONWEALTH REIT,0,1,0,0,0,0
COTT CORP QUE,0,0,1,0,0,0
COTY INC,0,0,0,1,0,0
CTRIP COM INTL LTD,0,1,0,0,0,0
DEAN FOODS CO NEW,0,0,0,1,0,0
DECKERS OUTDOOR CORP,0,0,0,0,1,0
DEERE & CO,0,0,0,1,0,0
DELPHI AUTOMOTIVE PLC,0,0,1,0,0,0
DELTA AIR LINES INC DEL,1,0,0,0,0,0
DENDREON CORP,0,1,0,0,0,0
DEVRY INC DEL,0,0,0,1,0,0
DIGITALGLOBE INC,0,0,1,0,0,1
DINEEQUITY INC,0,0,0,1,0,0
DIRECTV,0,0,0,0,1,0
DOLLAR GEN CORP NEW,0,0,0,0,1,0
DOMINOS PIZZA INC,0,0,0,1,0,0
DOMTAR CORP,0,1,0,0,0,0
DONNELLEY R R & SONS CO,0,0,1,0,0,0
DST SYS INC DEL,0,1,0,0,0,0
E M C CORP MASS,1,0,0,0,0,0
EBAY INC,0,0,0,0,1,0
ECOLAB INC,0,0,1,0,0,0
ELAN PLC,0,1,0,0,0,0
ELECTRONIC ARTS INC,0,0,0,0,0,1
ENDO HEALTH SOLUTIONS INC,0,0,0,0,0,1
ERICSSON,0,0,1,0,0,0
EXPEDIA INC DEL,1,0,0,0,1,0
EXPRESS SCRIPTS HLDG CO,0,0,0,0,1,0
FACEBOOK INC,0,0,0,0,1,0
FLEETCOR TECHNOLOGIES INC,0,0,1,0,0,0
FOOT LOCKER INC,0,0,0,0,1,0
FOREST CITY ENTERPRISES INC,0,1,0,0,0,0
FORTUNE BRANDS HOME & SEC IN,0,0,0,0,1,0
FOSSIL GROUP INC,0,0,0,0,1,0
FRANCESCAS HLDGS CORP,0,0,1,0,0,0
GEO GROUP INC,0,1,0,0,0,0
GEOSPACE TECHNOLOGIES CORP,0,1,0,0,0,0
G-III APPAREL GROUP LTD,0,1,0,0,0,0
GOODRICH PETE CORP,0,0,1,0,0,0
GOOGLE INC,0,0,1,1,1,0
GREEN DOT CORP,0,0,1,0,0,0
GROUP 1 AUTOMOTIVE INC,0,0,0,0,1,0
GROUPON INC,0,0,0,1,0,0
HALLIBURTON CO,1,0,0,0,0,0
HASBRO INC,0,0,0,0,0,1
HERBALIFE LTD,0,0,0,0,1,0
HERTZ GLOBAL HOLDINGS INC,0,0,1,0,0,0
HILLSHIRE BRANDS CO,0,0,1,0,0,0
HOLOGIC INC,1,0,0,0,0,0
IAC INTERACTIVECORP,0,0,0,1,0,0
IHS INC,0,0,0,1,0,0
INFORMATICA CORP,0,1,0,0,0,0
INGERSOLL-RAND PLC,1,0,0,0,0,0
INTEL CORP,0,0,0,0,0,1
INTERMUNE INC,1,0,0,0,0,0
INTUIT,0,0,0,1,0,0
IPG PHOTONICS CORP,0,0,1,0,0,0
IRON MTN INC,0,0,0,0,0,1
ISHARES TR,0,1,0,0,0,0
ISTAR FINL INC,0,0,1,0,0,0
JETBLUE AIRWAYS CORP,0,1,0,0,0,0
JOS A BANK CLOTHIERS INC,0,0,1,0,0,0
KODIAK OIL & GAS CORP,1,0,0,0,0,0
LAMAR ADVERTISING CO,0,0,0,0,1,0
LAS VEGAS SANDS CORP,1,0,0,0,0,0
LEAR CORP,0,0,1,0,0,0
LIBERTY GLOBAL PLC,0,0,1,0,1,1
LIBERTY INTERACTIVE CORP,1,0,0,0,0,1
LKQ CORP,0,0,0,1,0,0
LOGITECH INTL S A,0,0,1,0,0,0
LULULEMON ATHLETICA INC,0,1,0,1,1,0
MACYS INC,0,1,0,0,0,0
MADISON SQUARE GARDEN CO,0,0,1,0,0,0
