,Cevian,Corvex,ESL,JANA,Marcato,Pershing.Square,Relational,Sachem.Head,Child.Inv.Fund,Third.Point,Trian.Fund,Value.Act
MSFT,0,0,0,0,0,0,0,0,0,0,0,1
4588825,1,0,0,0,0,0,0,0,0,0,0,0
2793104,0,0,0,0,0,1,0,0,0,0,0,0
APD,0,0,0,0,0,1,0,0,0,0,0,0
B41NYV4,0,1,0,0,0,0,0,0,0,0,0,1
5636927,1,0,0,0,0,0,0,0,0,0,0,0
MDLZ,0,0,0,1,0,0,1,0,0,0,1,0
MSI,0,0,0,0,0,0,0,0,0,0,0,1
ADBE,0,0,0,0,0,0,0,0,0,0,0,1
B77J086,1,0,0,0,0,0,0,0,0,0,0,0
WMB,0,1,0,0,0,0,0,0,0,1,0,0
ALLY,0,0,0,0,0,0,0,0,0,1,0,0
5117381,1,0,0,0,0,0,0,0,0,0,0,0
PEP,0,0,0,0,0,0,0,0,0,0,1,0
SHLD,0,0,1,1,0,0,0,0,0,0,0,0
COL,0,0,0,0,0,0,0,0,0,0,0,1
B633030,0,0,0,0,0,0,1,0,0,0,1,0
BKW,0,0,0,0,0,1,0,0,0,0,0,0
HPQ,0,0,0,0,0,0,1,0,0,0,0,0
CBG,0,0,0,0,0,0,0,0,0,0,0,1
5713422,1,0,0,0,0,0,0,0,0,0,0,0
FOXA,0,0,0,0,0,0,0,0,1,0,0,0
BFNWV48,1,0,0,0,0,0,0,0,0,0,0,0
B4XGY11,0,0,0,0,0,0,0,0,0,0,0,1
MCO,0,0,0,0,0,0,0,0,1,0,0,0
AN,0,0,1,0,0,0,0,0,0,0,0,0
PAH,0,0,0,0,0,1,0,0,0,0,0,0
FNF,0,1,0,0,0,0,0,0,0,1,0,0
ASH,0,0,0,1,0,0,0,0,0,0,0,0
GGP,0,0,0,0,0,1,0,0,0,0,0,0
B3CTNK6,0,1,0,0,0,0,0,0,0,0,0,0
SPW,0,0,0,0,0,0,1,0,0,0,0,0
B87CVM3,0,0,0,0,0,0,0,0,1,0,0,0
OIS,0,0,0,1,0,0,0,0,0,0,0,0
LM,0,0,0,0,0,0,0,0,0,0,1,0
ALSN,0,0,0,0,0,0,0,0,0,0,0,1
WEN,0,0,0,0,0,0,0,0,0,0,1,0
QEP,0,0,0,1,0,0,0,0,0,0,0,0
EQIX,0,0,0,1,0,0,0,0,0,0,0,0
HHC,0,0,0,0,0,1,0,0,0,0,0,0
TKR,0,0,0,0,0,0,1,0,0,0,0,0
WAG,0,0,0,1,0,0,0,0,0,0,0,0
FDO,0,1,0,0,0,0,0,0,0,0,1,0
BEAM,0,0,0,0,0,1,0,0,0,0,0,0
B1QH830,1,0,0,0,0,0,0,0,0,0,0,0
BG,0,0,0,0,0,0,1,0,0,0,0,0
BID,0,0,0,0,1,0,0,0,0,1,0,0
GM,0,1,0,1,0,0,0,0,0,0,0,0
B0KJTG5,1,0,0,0,0,0,0,0,0,0,0,0
FNMA,0,0,0,0,0,1,0,0,0,0,0,0
B82YXW8,1,0,0,0,0,0,0,0,0,0,0,0
BFRT3W7,0,0,0,1,0,0,0,0,0,0,1,0
HOLX,0,0,0,0,0,0,1,0,0,0,0,0
URI,0,0,0,0,1,0,0,0,0,0,0,0
DIS,0,0,0,0,0,0,0,0,1,0,0,0
CAM,0,0,0,1,0,0,0,0,0,0,0,0
ITW,0,0,0,0,0,0,1,0,0,0,0,0
BDVZYZ7,0,0,0,0,0,0,0,0,1,0,0,0
DD,0,0,0,0,0,0,0,0,0,0,1,0
AIG,0,0,0,1,0,0,0,0,0,1,0,0
2840215,0,0,0,0,0,0,1,0,0,0,0,0
DOW,0,0,0,0,0,0,0,0,0,1,0,0
JNPR,0,0,0,1,0,0,0,0,0,0,0,0
FDX,0,0,0,0,0,0,0,0,0,1,0,0
5723777,0,0,0,0,0,0,0,0,1,0,0,0
