Manager,CIK
Brookside,1156175
Brahman,1014894
Conatus,1452929
Crestwood,1468395
Dorsal,1547007
Falcon.Edge,1558858
Force.Capital,1317601
Freshford,1459270
GEM.Realty,1544554
Geologic.Resource,1352117
Glenview,1138995
Greenlight,1079114
HHR,1397545
Highline,1166850
Hoplite,1277050
Lone.Pine,1061165
Marcato,1541996
Maverick,934639
Nantahala,1472322
Newtyn,1569241
North.Run,1212897
Pennant,1168664
Sachem.Head,1582090
Samlyn,1421097
Scopia,1279150
Sheffield,1314150
Soroban,1517857
Southpoint,1319998
SRS.Partners,1503174
Sun.Valley.Gold,1280493
Tiger.Consumer,1385534
Tiger.Global,1167483
Tremblant,1353312
Valinor,1401388
ValueAct,1418814
Viking,1103804
Whale.Rock,1387322
White.Elm,1425294
