Stock,Varana,Saba,BHR,Proxima,Owl_Creek,Elm_Ridge,Knightsbridge,King_Street,Shapiro,Regiment,Brigade,Fine
AA,0,1,0,0,0,1,1,0,0,0,0,0
AAPL,0,1,0,0,0,0,0,0,1,0,0,0
ABX,0,1,0,0,0,0,0,0,0,0,0,0
ACP,0,1,0,0,0,0,0,0,0,0,0,0
ACW,0,0,0,0,0,0,0,0,0,0,0,1
ADM,0,0,0,0,0,0,0,0,0,0,1,0
ADT,0,0,0,0,1,1,1,0,1,0,0,0
AET,0,0,0,0,0,1,1,0,0,0,0,0
AFT,0,1,0,0,0,0,0,0,0,0,0,0
AGC,0,1,0,0,0,0,0,0,0,0,0,0
AGD,0,1,0,0,0,0,0,0,0,0,0,0
AGG,0,1,0,0,0,0,0,0,0,0,0,0
AGN,0,0,0,0,0,0,0,0,0,0,0,0
AGNC,0,1,0,0,0,0,0,0,0,0,0,0
AGO,1,1,0,1,0,1,1,0,0,0,0,1
AH,0,0,0,1,0,0,0,0,0,0,0,0
AHT,0,0,1,0,0,0,0,0,0,0,0,0
AIG,0,0,0,1,0,1,1,1,0,0,0,0
AIQ,0,0,0,0,0,0,0,0,0,0,1,0
AIZ,0,0,0,0,0,0,0,0,0,0,0,1
AKS,0,1,0,0,0,0,0,0,0,0,0,0
ALK,0,0,0,0,0,0,0,0,0,0,1,0
ALR,0,0,0,1,0,0,0,0,0,0,0,0
AMAT,0,0,0,0,0,1,1,0,0,0,0,0
AMKR,0,1,0,0,0,0,0,0,0,0,0,0
AMLP,1,0,0,0,0,0,0,0,0,0,0,0
AMTG,0,1,0,0,0,0,0,0,0,0,0,0
AOI,0,0,0,0,0,0,0,0,0,0,0,1
APOL,1,0,0,0,0,0,0,0,0,1,0,0
APTS,0,0,1,0,0,0,0,0,0,0,0,0
ARCP,0,0,1,0,0,0,0,0,0,0,0,0
ARR,0,1,0,0,0,0,0,0,0,0,0,0
ATVI,0,0,0,0,1,0,0,0,0,0,0,0
AUXL,0,0,0,1,0,0,0,0,0,0,0,0
AVB,0,0,0,0,0,1,1,0,0,0,0,0
AWF,0,1,0,0,0,0,0,0,0,0,0,0
AWI,0,0,0,0,0,1,1,0,0,0,0,0
AXLL,0,0,0,0,0,0,0,0,1,0,0,0
AYI,0,0,0,0,0,1,1,0,0,0,0,0
BA,0,0,0,0,1,0,0,0,0,0,1,0
BAC,0,0,0,0,0,1,1,0,1,0,0,0
BACPRJ,0,0,0,0,0,0,0,0,1,0,0,0
BACWSA,0,0,0,0,0,0,0,0,0,0,0,0
BACWSB,0,0,0,0,0,0,0,0,0,0,0,0
BAX,0,0,0,0,0,0,0,0,1,0,0,0
BBG,0,0,0,0,0,0,0,0,1,0,0,0
BC,0,0,0,1,0,0,0,0,0,0,0,0
BCC,0,0,0,1,0,1,1,0,0,0,0,0
BCOR,0,0,0,1,0,0,0,0,0,0,0,0
BEZQ_IL,1,0,0,0,0,0,0,0,0,0,0,0
BHD,0,1,0,0,0,0,0,0,0,0,0,0
BHI,0,0,0,0,0,0,0,0,0,0,0,0
BHK,0,1,0,0,0,0,0,0,0,0,0,0
BHY,0,1,0,0,0,0,0,0,0,0,0,0
BIV,0,1,0,0,0,0,0,0,0,0,0,0
BK,0,0,0,0,0,0,0,0,1,0,0,0
BKS,1,0,0,0,0,0,0,0,0,0,0,0
BLV,0,1,0,0,0,0,0,0,0,0,0,0
BLW,0,1,0,0,0,0,0,0,0,0,0,0
BNA,0,1,0,0,0,0,0,0,0,0,0,0
BND,0,1,0,0,0,0,0,0,0,0,0,0
BP,0,0,0,0,0,1,1,0,0,0,0,0
BPOP,0,1,0,0,0,0,0,0,0,0,0,1
BSCF,0,1,0,0,0,0,0,0,0,0,0,0
BSCG,0,1,0,0,0,0,0,0,0,0,0,0
BSX,0,0,0,0,0,1,1,0,0,0,0,0
BTU,0,1,0,0,0,0,0,0,0,0,1,0
BTZ,0,1,0,0,0,0,0,0,0,0,0,0
BWC,0,0,0,1,0,0,0,0,1,0,0,0
BWG,0,1,0,0,0,0,0,0,0,0,0,0
BWLD,0,0,0,0,0,1,1,0,0,0,0,0
BYD,0,0,0,0,0,0,0,0,0,0,1,0
BZH,0,0,0,0,0,0,0,0,0,0,1,0
C,0,0,0,0,0,1,1,0,0,0,0,0
CAB,0,0,0,0,0,1,1,0,0,0,0,0
CBBPRB,0,0,0,0,0,0,0,0,1,0,0,0
CBLI,0,0,1,0,0,0,0,0,0,0,0,0
CBS,0,0,1,0,0,0,0,0,0,0,0,0
CCC,0,0,0,0,0,0,0,0,1,0,0,0
CCMP,0,0,0,0,0,0,0,0,1,0,0,0
CF,0,0,0,1,0,0,0,0,0,0,0,0
CFN,0,0,0,0,0,0,0,0,0,0,0,0
CFT,0,1,0,0,0,0,0,0,0,0,0,0
CHK,0,0,0,0,0,0,0,0,0,0,0,0
CHMT,0,0,0,0,0,0,0,0,0,0,0,0
CHW,0,1,0,0,0,0,0,0,0,0,0,0
CHY,0,1,0,0,0,0,0,0,0,0,0,0
CIU,0,1,0,0,0,0,0,0,0,0,0,0
CKP,0,0,0,0,0,0,0,0,1,0,0,0
CLF,0,0,0,0,0,1,1,0,0,0,0,0
CLI,0,1,0,0,0,0,0,0,0,0,0,0
