,Discovery,Dorsal,Falcon Edge,HBK,JANA,Jericho,Pennant,Samlyn,Tourbillon,Tybourne,White Elm
2208987,0,0,1,1,0,0,0,0,1,1,0
2367963,0,0,0,0,1,0,0,1,0,0,1
2654364,0,0,1,0,0,0,1,0,1,0,0
AAPL,1,1,0,1,0,0,0,0,0,0,0
ADSK,0,1,0,0,1,0,0,1,0,0,0
AIG,1,0,1,1,1,0,1,0,0,0,0
ALL,1,0,0,1,0,0,0,1,0,0,0
AMCC,0,1,0,1,0,0,0,0,0,0,1
AMZN,1,0,0,1,0,1,0,0,0,1,0
B1KYHF2,1,0,0,1,0,1,0,0,0,0,0
B62S207,0,0,0,1,0,0,1,1,0,0,0
B8W6766,1,0,1,1,0,0,0,0,0,0,1
B8W67B1,1,0,1,1,0,0,0,1,0,0,1
BD1NQJ9,0,0,0,0,1,0,0,1,1,0,0
BJ3V905,1,0,1,1,1,0,0,0,0,0,0
C,1,0,0,1,0,0,0,1,0,0,0
CAR,1,0,1,1,0,0,1,0,0,0,0
CCI,0,1,0,1,0,1,0,0,0,0,1
CHTR,0,0,0,1,1,1,0,1,0,0,1
CRI,1,0,0,0,0,0,1,0,0,0,1
DISH,0,0,0,1,0,0,0,1,1,0,0
EBAY,1,0,0,0,0,0,0,1,0,0,0
ETFC,0,0,0,1,0,0,0,1,1,0,0
FB,1,1,1,1,0,1,0,0,0,0,1
FOXA,1,0,1,0,0,0,0,0,0,1,0
GM,0,0,0,1,1,0,0,1,1,0,0
GOOGL,1,0,1,1,0,0,0,0,0,1,0
GRPN,0,0,1,1,1,0,0,0,0,0,0
HDS,1,0,0,1,0,0,0,1,0,0,0
LINTA,0,0,0,1,0,0,0,1,0,0,1
LMCA,0,1,0,1,1,0,0,0,0,0,0
LVS,1,0,1,1,0,1,0,0,0,0,0
MA,0,0,0,1,0,0,0,0,0,1,1
MPC,1,0,0,1,0,0,1,1,0,0,0
MU,1,1,0,1,0,0,0,0,0,0,0
NCR,0,0,0,1,0,0,0,1,1,0,0
OC,0,0,0,0,1,0,1,1,1,0,0
P,0,0,0,1,0,1,0,0,0,1,0
PCLN,1,1,1,1,0,0,1,0,0,0,1
SEAS,1,0,0,1,0,0,0,1,0,0,0
SNDK,1,0,0,1,0,0,0,0,0,0,0
TDG,0,0,0,0,0,0,1,1,0,0,1
TRIP,0,0,0,1,0,0,1,0,0,1,0
TSO,1,0,0,1,0,0,0,1,0,0,0
TWC,1,0,0,1,0,0,0,1,0,0,0
ULTA,1,0,0,1,0,0,0,1,0,0,0
V,1,0,0,1,0,0,0,1,0,0,1
WDAY,0,1,0,1,0,0,1,0,0,0,0
ZNGA,0,0,0,0,0,1,0,1,0,0,1
